empresa_id;empresa_nome;codigo_lancamento_omie;competencia;issue_type;issue_description
8w7t3s0f;DZM;11492810889;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810902;16/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811033;24/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811110;28/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811237;30/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811264;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811278;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811287;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811298;30/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811315;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811336;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811357;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811371;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811388;16/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811406;21/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811422;16/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811436;21/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811449;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811481;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811490;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811515;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811531;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811545;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811561;30/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811591;11/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811637;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811677;06/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811695;06/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811707;16/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811719;05/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811731;28/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811742;07/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811771;01/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811786;21/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492811797;28/02/2025;projeto_ausente;Projeto ausente
